Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/23/24,Monday,12.76,udon,Food,Debit,Need
1/23/24,Tuesday,13.73,quesdilla ,Food,Debit,Need
1/24/24,Wednesday,30.00,haircut,,Debit,Want
1/26/24,Monday,26.19,Chicken nuggets ,Food,Debit,Need
1/29/24,Monday,405.85,credit card ,Bills,Debit,Need
1/30/24,Tuesday,36.05,micheals ,Entertainment and Recreation,Debit,Want
1/31/24,Wednesday,52.50,Shell,Travel,Credit,Need
1/31/24,Wednesday,360,tires,,Cash,Need
2/1/24,Thursday,73.11,target,Housing,Debit,Need
2/1/24,Thursday,50.00,savings,Financial goals and Savings,Debit,Savings
2/2/24,Friday,32.81,flowers,Entertainment and Recreation,Debit,Want
2/4/24,Saturday,46.68,gas,Travel,Credit,Need